indice_evento,fecha_utc,hora_utc,fin_utc,duracion_s,max_envolvente_vectorial,max_sta_lta
1,2015-02-01,11:50:56.025,11:54:58,240.6,4016.13965,5.38
2,2015-02-01,12:33:43.725,12:37:45,240.5,2719.54443,5.6
3,2015-02-02,10:54:18.325,10:57:17,178.68,9690.39356,14.94
4,2015-02-04,01:13:13.200,01:16:15,182.07,1018.8764,18.32
5,2015-02-04,13:35:41.375,13:38:56,194.62,503.63571,5.81
6,2015-02-04,13:55:16.450,13:58:16,180.12,476.13916,5.49
7,2015-02-06,17:37:20.525,17:41:11,231.1,459.75635,4.31
8,2015-02-06,18:00:45.125,18:03:45,179.97,470.60785,4.24
9,2015-02-11,13:07:03.000,13:09:51,168.0,1158.31775,14.93
10,2015-02-11,13:45:23.475,13:48:49,206.22,473.12903,5.97
11,2015-02-11,19:03:12.500,19:08:53,340.5,3246.31567,18.92
12,2015-02-12,22:15:21.550,22:18:54,212.45,384.49896,9.61
13,2015-02-13,18:11:25.925,18:15:26,240.88,439.97195,4.79
14,2015-02-14,01:36:18.200,01:38:59,160.8,313.26706,7.13
15,2015-02-14,20:34:13.825,20:37:27,227.9,772.40613,4.25
16,2015-02-15,16:34:40.225,16:36:24,121.78,1138.56519,6.06
17,2015-02-17,08:28:31.275,08:31:28,177.3,368.91553,4.26
18,2015-02-17,10:03:20.125,10:07:51,261.88,702.2821,11.45
19,2015-02-17,11:28:51.250,11:32:01,189.75,552.30914,11.84
20,2015-02-17,12:50:48.350,12:57:10,261.65,757.42517,9.24
21,2015-02-17,14:40:36.925,14:43:34,177.07,947.16724,13.65
22,2015-02-18,00:51:34.750,00:54:06,152.0,336.17865,10.59
23,2015-02-18,13:32:54.275,13:35:48,174.53,587.04242,6.09
24,2015-02-18,13:47:43.250,13:50:36,173.12,337.0831,4.2
25,2015-02-18,20:28:03.525,20:31:02,178.47,686.0481,6.83
26,2015-02-19,03:07:43.325,03:13:41,240.68,557.86755,4.27
27,2015-02-25,13:44:21.125,13:47:02,161.82,506.57666,4.73
28,2015-02-27,14:19:27.725,14:22:26,179.07,301.08444,5.29
19,2015-02-27,18:15:27.325,18:18:59,212.18,531.26074,5.56
30,2015-02-28,01:52:00.350,01:54:31,127.65,285.12515,6.44
31,2015-02-28,17:05:24.775,17:08:10,165.53,1046.46887,6.17
